"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"25/10/2024","1.585","1.620","1.655","1.585","84,33M","-2,16%"
"24/10/2024","1.620","1.640","1.650","1.620","55,96M","-1,82%"
"23/10/2024","1.650","1.680","1.685","1.640","66,12M","-1,20%"
"22/10/2024","1.670","1.695","1.700","1.660","87,54M","-1,18%"
"21/10/2024","1.690","1.645","1.765","1.640","243,38M","4,00%"
"18/10/2024","1.625","1.630","1.635","1.605","83,02M","0,31%"
"17/10/2024","1.620","1.585","1.625","1.570","103,81M","3,18%"
"16/10/2024","1.570","1.600","1.600","1.570","89,20M","-1,88%"
"15/10/2024","1.600","1.630","1.630","1.590","131,95M","-1,84%"
"14/10/2024","1.630","1.575","1.640","1.565","173,55M","4,15%"
"11/10/2024","1.565","1.545","1.565","1.535","86,32M","1,95%"
"10/10/2024","1.535","1.515","1.540","1.515","59,20M","1,32%"
"09/10/2024","1.515","1.515","1.525","1.490","73,80M","-0,66%"
"08/10/2024","1.525","1.545","1.575","1.505","137,21M","-1,29%"
"07/10/2024","1.545","1.530","1.555","1.525","85,64M","1,31%"
"04/10/2024","1.525","1.535","1.545","1.500","75,68M","-0,65%"
"03/10/2024","1.535","1.550","1.590","1.535","199,01M","0,00%"
"02/10/2024","1.535","1.510","1.570","1.480","254,46M","2,33%"
"01/10/2024","1.500","1.490","1.510","1.480","123,53M","1,35%"
"30/09/2024","1.480","1.480","1.490","1.435","131,93M","0,68%"
"27/09/2024","1.470","1.430","1.480","1.425","146,33M","3,16%"
"26/09/2024","1.425","1.450","1.450","1.415","119,74M","-1,04%"
"25/09/2024","1.440","1.420","1.445","1.405","213,53M","2,13%"
"24/09/2024","1.410","1.400","1.410","1.385","99,82M","1,08%"
"23/09/2024","1.395","1.380","1.410","1.380","124,95M","1,82%"
"20/09/2024","1.370","1.380","1.385","1.365","66,85M","-0,36%"
"19/09/2024","1.375","1.365","1.380","1.360","64,13M","0,73%"
"18/09/2024","1.365","1.380","1.380","1.365","54,06M","-1,09%"
"17/09/2024","1.380","1.350","1.390","1.345","153,08M","3,37%"
"13/09/2024","1.335","1.365","1.370","1.330","101,55M","-0,74%"
"12/09/2024","1.345","1.325","1.360","1.315","104,51M","2,28%"
"11/09/2024","1.315","1.320","1.345","1.315","95,72M","-0,38%"
"10/09/2024","1.320","1.320","1.335","1.305","61,47M","0,00%"
"09/09/2024","1.320","1.335","1.340","1.305","92,57M","-1,12%"
"06/09/2024","1.335","1.345","1.360","1.330","77,35M","-0,74%"
"05/09/2024","1.345","1.350","1.370","1.330","106,25M","0,00%"
"04/09/2024","1.345","1.350","1.370","1.340","98,87M","-1,82%"
"03/09/2024","1.370","1.400","1.405","1.365","87,62M","-1,79%"
"02/09/2024","1.395","1.400","1.415","1.385","116,94M","0,36%"
"30/08/2024","1.390","1.415","1.420","1.390","764,07M","-1,42%"
"29/08/2024","1.410","1.450","1.455","1.400","111,06M","-2,76%"
"28/08/2024","1.450","1.480","1.485","1.450","41,28M","-1,36%"
"27/08/2024","1.470","1.480","1.485","1.450","37,69M","-0,68%"
"26/08/2024","1.480","1.460","1.480","1.450","75,02M","2,07%"
"23/08/2024","1.450","1.445","1.465","1.445","45,81M","0,69%"
"22/08/2024","1.440","1.470","1.475","1.430","73,63M","-2,04%"
"21/08/2024","1.470","1.485","1.525","1.465","133,23M","-0,34%"
"20/08/2024","1.475","1.480","1.495","1.455","88,43M","0,34%"
"19/08/2024","1.470","1.475","1.510","1.460","179,60M","0,68%"
"16/08/2024","1.460","1.405","1.510","1.400","377,54M","5,42%"
"15/08/2024","1.385","1.310","1.390","1.305","177,04M","6,13%"
"14/08/2024","1.305","1.310","1.320","1.290","46,92M","-0,38%"
"13/08/2024","1.310","1.320","1.330","1.280","109,94M","0,00%"
"12/08/2024","1.310","1.290","1.310","1.290","38,05M","1,95%"
"09/08/2024","1.285","1.285","1.300","1.280","26,31M","1,18%"
"08/08/2024","1.270","1.295","1.300","1.270","46,87M","-1,93%"
"07/08/2024","1.295","1.295","1.315","1.295","20,66M","0,00%"
"06/08/2024","1.295","1.290","1.305","1.280","27,91M","0,78%"
"05/08/2024","1.285","1.330","1.330","1.265","65,32M","-4,46%"
"02/08/2024","1.345","1.335","1.350","1.320","32,24M","0,00%"
"01/08/2024","1.345","1.340","1.355","1.325","54,53M","2,28%"
"31/07/2024","1.315","1.310","1.325","1.305","34,84M","1,15%"
"30/07/2024","1.300","1.320","1.330","1.300","30,80M","-0,76%"
"29/07/2024","1.310","1.325","1.350","1.310","62,52M","1,16%"
"26/07/2024","1.295","1.285","1.300","1.280","33,79M","1,17%"
"25/07/2024","1.280","1.305","1.310","1.275","44,79M","-2,29%"
"24/07/2024","1.310","1.315","1.325","1.305","28,21M","-0,38%"
"23/07/2024","1.315","1.340","1.350","1.305","48,95M","-1,87%"
"22/07/2024","1.340","1.350","1.360","1.330","35,89M","-0,74%"
"19/07/2024","1.350","1.375","1.380","1.330","60,21M","-1,82%"
"18/07/2024","1.375","1.395","1.405","1.375","53,94M","-0,36%"
"17/07/2024","1.380","1.360","1.395","1.355","65,08M","2,99%"
"16/07/2024","1.340","1.350","1.365","1.335","30,32M","-0,74%"
"15/07/2024","1.350","1.360","1.370","1.330","27,71M","-0,74%"
"12/07/2024","1.360","1.365","1.380","1.350","38,78M","0,00%"
"11/07/2024","1.360","1.345","1.365","1.320","36,63M","1,12%"
"10/07/2024","1.345","1.350","1.365","1.345","25,81M","0,00%"
"09/07/2024","1.345","1.365","1.375","1.340","39,83M","-1,47%"
"08/07/2024","1.365","1.315","1.365","1.315","61,09M","4,20%"
"05/07/2024","1.310","1.325","1.330","1.305","21,98M","-1,13%"
"04/07/2024","1.325","1.325","1.335","1.320","46,07M","0,76%"
"03/07/2024","1.315","1.295","1.315","1.280","40,06M","1,54%"
"02/07/2024","1.295","1.310","1.315","1.280","58,44M","-0,77%"
"01/07/2024","1.305","1.255","1.305","1.250","69,30M","4,40%"
"28/06/2024","1.250","1.235","1.265","1.230","54,96M","1,63%"
"27/06/2024","1.230","1.200","1.230","1.200","24,22M","1,23%"
"26/06/2024","1.215","1.230","1.235","1.210","29,66M","-0,82%"
"25/06/2024","1.225","1.255","1.260","1.220","29,65M","-2,00%"
"24/06/2024","1.250","1.235","1.260","1.235","22,56M","1,63%"
"21/06/2024","1.230","1.220","1.255","1.220","56,22M","1,23%"
"20/06/2024","1.215","1.215","1.225","1.200","33,48M","0,00%"
"19/06/2024","1.215","1.215","1.225","1.175","36,74M","0,41%"
"14/06/2024","1.210","1.255","1.260","1.205","48,92M","-3,59%"
"13/06/2024","1.255","1.270","1.285","1.255","40,67M","-1,18%"
"12/06/2024","1.270","1.255","1.270","1.240","35,96M","1,20%"
"11/06/2024","1.255","1.240","1.280","1.240","64,08M","1,21%"
"10/06/2024","1.240","1.290","1.300","1.215","98,03M","-4,62%"
"07/06/2024","1.300","1.320","1.350","1.300","77,51M","-1,14%"
"06/06/2024","1.315","1.345","1.380","1.305","73,53M","-1,87%"
"05/06/2024","1.340","1.440","1.445","1.340","111,83M","-6,94%"
"04/06/2024","1.440","1.470","1.485","1.435","60,29M","-2,04%"
"03/06/2024","1.470","1.465","1.490","1.465","29,62M","0,34%"
"31/05/2024","1.465","1.490","1.510","1.465","81,51M","-1,68%"
"30/05/2024","1.490","1.525","1.525","1.490","38,24M","-2,30%"
"29/05/2024","1.525","1.525","1.540","1.505","27,08M","0,66%"
"28/05/2024","1.515","1.500","1.535","1.500","33,68M","1,34%"
"27/05/2024","1.495","1.525","1.535","1.490","34,51M","-1,97%"
"22/05/2024","1.525","1.565","1.580","1.520","42,18M","-2,56%"
"21/05/2024","1.565","1.545","1.595","1.540","59,24M","-5,44%"
"20/05/2024","1.655","1.645","1.670","1.645","113,54M","2,16%"
"17/05/2024","1.620","1.585","1.635","1.585","88,08M","3,51%"
"16/05/2024","1.565","1.585","1.590","1.560","52,89M","0,00%"
"15/05/2024","1.565","1.535","1.575","1.535","51,25M","2,62%"
"14/05/2024","1.525","1.520","1.545","1.515","31,68M","0,00%"
"13/05/2024","1.525","1.540","1.550","1.515","36,49M","-0,65%"
"08/05/2024","1.535","1.505","1.575","1.480","109,11M","1,99%"
"07/05/2024","1.505","1.530","1.540","1.500","40,34M","-0,66%"
"06/05/2024","1.515","1.505","1.530","1.490","41,69M","1,68%"
"03/05/2024","1.490","1.515","1.535","1.475","70,35M","-1,32%"
"02/05/2024","1.510","1.605","1.610","1.510","100,92M","-7,93%"
"30/04/2024","1.640","1.625","1.640","1.600","42,75M","1,55%"
"29/04/2024","1.615","1.600","1.620","1.570","44,76M","1,25%"
"26/04/2024","1.595","1.600","1.615","1.575","45,11M","0,31%"
"25/04/2024","1.590","1.680","1.695","1.585","77,80M","-5,36%"
"24/04/2024","1.680","1.745","1.750","1.680","42,66M","-3,45%"
"23/04/2024","1.740","1.770","1.775","1.730","53,47M","-1,69%"
"22/04/2024","1.770","1.780","1.800","1.760","70,46M","0,57%"
"19/04/2024","1.760","1.765","1.770","1.725","86,89M","2,03%"
"18/04/2024","1.725","1.800","1.815","1.710","105,26M","-3,90%"
"17/04/2024","1.795","1.815","1.845","1.775","97,31M","-0,83%"
"16/04/2024","1.810","1.685","1.810","1.680","201,07M","8,38%"
"05/04/2024","1.670","1.665","1.675","1.645","35,35M","0,60%"
"04/04/2024","1.660","1.660","1.675","1.650","47,64M","0,91%"
"03/04/2024","1.645","1.650","1.660","1.630","55,40M","0,30%"
"02/04/2024","1.640","1.580","1.640","1.575","46,41M","3,80%"
"01/04/2024","1.580","1.615","1.635","1.545","61,27M","-1,25%"
"28/03/2024","1.600","1.640","1.655","1.580","62,69M","-2,14%"
"27/03/2024","1.635","1.665","1.675","1.625","34,51M","-1,80%"
"26/03/2024","1.665","1.660","1.675","1.650","35,07M","0,30%"
"25/03/2024","1.660","1.670","1.685","1.650","51,28M","-0,60%"
"22/03/2024","1.670","1.700","1.700","1.660","46,31M","-1,76%"
"21/03/2024","1.700","1.685","1.720","1.680","85,48M","2,41%"
"20/03/2024","1.660","1.660","1.670","1.645","38,43M","0,00%"
"19/03/2024","1.660","1.665","1.690","1.660","49,27M","0,30%"
"18/03/2024","1.655","1.615","1.675","1.605","66,60M","2,48%"
"15/03/2024","1.615","1.645","1.645","1.610","51,84M","-1,82%"
"14/03/2024","1.645","1.630","1.645","1.610","69,01M","1,54%"
"13/03/2024","1.620","1.575","1.635","1.575","116,31M","3,51%"
"08/03/2024","1.565","1.595","1.600","1.550","52,66M","-0,63%"
"07/03/2024","1.575","1.535","1.580","1.535","84,82M","3,28%"
"06/03/2024","1.525","1.465","1.540","1.465","81,20M","4,45%"
"05/03/2024","1.460","1.470","1.485","1.460","37,55M","0,00%"
"04/03/2024","1.460","1.495","1.500","1.460","31,71M","-1,35%"
"01/03/2024","1.480","1.465","1.490","1.465","27,75M","1,37%"
"29/02/2024","1.460","1.495","1.505","1.460","48,51M","-2,01%"
"28/02/2024","1.490","1.490","1.500","1.470","23,37M","0,68%"
"27/02/2024","1.480","1.515","1.515","1.470","45,78M","-2,31%"
"26/02/2024","1.515","1.555","1.565","1.510","28,49M","-2,26%"
"23/02/2024","1.550","1.525","1.550","1.505","58,96M","3,33%"
"22/02/2024","1.500","1.480","1.520","1.480","46,95M","2,04%"
"21/02/2024","1.470","1.505","1.515","1.455","49,75M","-2,33%"
"20/02/2024","1.505","1.515","1.525","1.505","29,69M","-0,66%"
"19/02/2024","1.515","1.545","1.545","1.505","25,25M","-0,98%"
"16/02/2024","1.530","1.545","1.560","1.530","27,13M","-0,65%"
"15/02/2024","1.540","1.570","1.580","1.535","62,45M","-0,32%"
"13/02/2024","1.545","1.515","1.580","1.485","140,45M","5,46%"
"12/02/2024","1.465","1.415","1.470","1.415","41,95M","3,90%"
"07/02/2024","1.410","1.430","1.440","1.405","52,16M","-1,05%"
"06/02/2024","1.425","1.445","1.470","1.410","59,46M","-1,04%"
"05/02/2024","1.440","1.525","1.540","1.440","109,75M","-5,57%"
"02/02/2024","1.525","1.535","1.550","1.525","46,16M","-0,65%"
"01/02/2024","1.535","1.550","1.570","1.535","21,24M","-0,97%"
"31/01/2024","1.550","1.565","1.585","1.550","23,37M","-0,96%"
"30/01/2024","1.565","1.565","1.570","1.560","21,90M","0,00%"
"29/01/2024","1.565","1.575","1.595","1.550","25,07M","-0,63%"
"26/01/2024","1.575","1.560","1.580","1.555","36,60M","1,29%"
"25/01/2024","1.555","1.535","1.590","1.535","53,17M","1,30%"
"24/01/2024","1.535","1.610","1.620","1.525","100,91M","-4,66%"
"23/01/2024","1.610","1.645","1.650","1.605","45,77M","-2,13%"
"22/01/2024","1.645","1.645","1.665","1.640","40,06M","0,00%"
"19/01/2024","1.645","1.670","1.705","1.640","138,28M","1,54%"
"18/01/2024","1.620","1.605","1.635","1.600","42,79M","0,93%"
"17/01/2024","1.605","1.620","1.620","1.600","22,34M","0,00%"
"16/01/2024","1.605","1.610","1.625","1.600","28,69M","0,00%"
"15/01/2024","1.605","1.630","1.640","1.605","41,09M","-1,23%"
"12/01/2024","1.625","1.635","1.645","1.620","37,63M","-0,61%"
"11/01/2024","1.635","1.660","1.670","1.635","28,45M","-1,21%"
"10/01/2024","1.655","1.650","1.670","1.635","23,26M","0,61%"
"09/01/2024","1.645","1.650","1.670","1.630","35,56M","-0,30%"
"08/01/2024","1.650","1.680","1.710","1.650","38,88M","-1,49%"
"05/01/2024","1.675","1.690","1.695","1.675","27,72M","-0,59%"
"04/01/2024","1.685","1.700","1.725","1.680","53,51M","-0,88%"
"03/01/2024","1.700","1.735","1.735","1.700","37,30M","-2,02%"
"02/01/2024","1.735","1.715","1.735","1.710","24,72M","1,76%"
